Date,Max Temperature (F),Min Temperature (F),Precipitation (mm),Avoid,Alternatives,All Weather,Good Bets
11/15/2023,67,41,0,0,0,0,0
11/14/2023,61,37,0,0,0,0,0
11/13/2023,63,39,0,0,0,0,0
11/12/2023,66,40,0,0,0,0,0
11/11/2023,59,41,0,0,0,0,0
11/10/2023,55,35,0,0,0,0,0
11/9/2023,53,31,0,0,0,0,0
11/8/2023,51,31,0,0,0,0,0
11/7/2023,55,40,0,1,0,0,0
11/6/2023,57,42,0.11,1,0,0,1
11/5/2023,65,46,0.01,1,0,0,0
11/4/2023,58,44,0.13,1,0,0,0
11/3/2023,61,43,0.06,1,0,0,0
11/2/2023,51,44,0.33,1,0,0,1
11/1/2023,57,35,0,0,0,0,0
10/31/2023,56,29,0,0,0,0,0
10/30/2023,50,26,0,0,0,0,0
10/29/2023,48,24,0,0,0,0,0
10/28/2023,46,27,0,0,0,0,0
10/27/2023,50,33,0,0,0,0,0
10/26/2023,50,35,0,1,0,0,0
10/25/2023,58,39,0.33,1,0,0,0
10/24/2023,63,38,0,0,0,0,0
10/23/2023,68,48,0.14,0,0,0,0
10/22/2023,73,50,0.06,0,0,0,0
10/21/2023,79,51,0,0,0,0,0
10/20/2023,80,52,0,0,0,0,0
10/19/2023,79,51,0,0,0,0,0
10/18/2023,75,48,0,0,0,0,0
10/17/2023,72,50,0,0,0,0,0
10/16/2023,82,54,0,0,0,0,0
10/15/2023,81,53,0,0,0,0,0
10/14/2023,73,53,0,0,0,0,0
10/13/2023,70,43,0,0,0,0,0
10/12/2023,64,40,0,0,0,0,0
10/11/2023,59,48,0.03,0,0,0,0
10/10/2023,65,50,0.09,0,0,0,0
10/9/2023,86,55,0.02,0,0,0,0
10/8/2023,87,53,0,0,0,0,0
10/7/2023,82,53,0,0,0,0,0
10/6/2023,78,51,0,0,0,0,0
10/5/2023,74,47,0,0,0,0,0
10/4/2023,70,44,0,0,0,0,0
10/3/2023,65,52,0.09,1,0,0,0
10/2/2023,64,49,0.01,1,0,0,0
10/1/2023,52,46,0.47,1,0,0,0
9/30/2023,57,48,0.23,1,0,0,0
9/29/2023,78,49,0,0,0,0,0
9/28/2023,69,42,0,0,0,0,0
9/27/2023,73,51,0,0,0,0,0
9/26/2023,80,53,0,0,0,0,0
9/25/2023,88,53,0,0,0,0,0
9/24/2023,80,55,0,0,0,0,0
9/23/2023,78,49,0,0,0,0,0
9/22/2023,70,48,0.01,0,0,0,0
9/21/2023,66,43,0,0,0,0,0
9/20/2023,71,47,0,0,0,0,0
9/19/2023,76,51,0,0,0,0,0
9/18/2023,86,60,0,0,0,0,0
9/17/2023,88,58,0,0,0,0,0
9/16/2023,93,58,0,0,0,0,0
9/15/2023,89,58,0,0,0,0,0
9/14/2023,83,52,0,0,0,0,0
9/13/2023,83,58,0,0,0,0,0
9/12/2023,87,62,0,0,0,0,0
9/11/2023,93,63,0,0,0,0,0
9/10/2023,91,62,0,0,0,0,0
9/9/2023,90,58,0,0,0,0,0
9/8/2023,85,59,0,0,0,0,0
9/7/2023,89,59,0,0,0,0,0
9/6/2023,90,61,0.03,0,0,0,0
9/5/2023,84,57,0,0,0,0,0
9/4/2023,75,59,0.02,0,0,0,0
9/3/2023,72,63,0.15,0,0,0,0
9/2/2023,82,65,0.01,0,0,0,0
9/1/2023,85,62,0,0,0,0,0
8/31/2023,90,56,0,0,0,0,1
8/30/2023,77,57,0,0,0,0,0
8/29/2023,96,67,0,0,0,0,0
8/28/2023,99,66,0,0,0,0,0
8/27/2023,93,65,0,0,0,0,0
8/26/2023,97,67,1.46,0,0,0,0
8/25/2023,92,70,0,0,0,0,0
8/24/2023,92,61,0,0,0,0,0
8/23/2023,86,60,0,1,0,0,0
8/22/2023,87,63,0.89,1,0,0,0
8/21/2023,87,66,0.37,1,0,0,0
8/20/2023,77,69,0.02,0,0,0,0
8/19/2023,86,66,0,0,0,0,0
8/18/2023,96,72,0,0,0,0,0
8/17/2023,100,72,0,0,0,0,0
8/16/2023,105,71,0,0,0,0,0
8/15/2023,104,71,0,0,0,0,0
8/14/2023,99,69,0,0,0,0,0
8/13/2023,93,59,0,0,0,0,0
8/12/2023,92,61,0,0,0,0,0
8/11/2023,96,62,0,0,0,0,0
8/10/2023,90,61,0,0,0,0,0
8/9/2023,93,65,0,0,0,0,0
8/8/2023,83,56,0,0,0,0,0
8/7/2023,82,58,0,0,0,0,0
8/6/2023,86,61,0.01,0,0,0,0
8/5/2023,89,60,0,0,0,0,0
8/4/2023,81,64,0.02,0,0,0,0
8/3/2023,92,70,0.02,0,0,0,0
8/2/2023,95,71,0,0,0,0,0
8/1/2023,98,61,0,0,0,0,0
7/31/2023,96,62,0,0,0,0,0
7/30/2023,99,68,0,0,0,0,0
7/29/2023,98,69,0,0,0,0,0
7/28/2023,98,64,0,0,0,0,0
7/27/2023,95,63,0,0,0,0,0
7/26/2023,95,62,0,0,0,0,0
7/25/2023,93,65,0,0,0,0,0
7/24/2023,97,78,0,0,0,0,0
7/23/2023,101,70,0,0,0,0,0
7/22/2023,103,70,0,0,0,0,0
7/21/2023,105,70,0,0,0,0,0
7/20/2023,102,72,0,0,0,0,0
7/19/2023,101,60,0,0,0,0,0
7/18/2023,94,60,0,0,0,0,0
7/17/2023,96,75,0,0,0,0,0
7/16/2023,105,70,0,0,0,0,0
7/15/2023,101,65,0,0,0,0,0
7/14/2023,94,62,0,0,0,0,0
7/13/2023,94,64,0,0,0,0,0
7/12/2023,97,63,0,0,0,0,0
7/11/2023,93,63,0,0,0,0,0
7/10/2023,95,67,0,0,0,0,0
7/9/2023,103,66,0,0,0,0,0
7/8/2023,95,69,0,0,0,0,0
7/7/2023,98,66,0,0,0,0,0
7/6/2023,96,62,0,0,0,0,0
7/5/2023,92,60,0,0,0,0,0
7/4/2023,88,56,0,0,0,0,0
7/3/2023,93,61,0,0,0,0,0
7/2/2023,98,62,0,0,0,0,0
7/1/2023,98,70,0,0,0,0,0
6/30/2023,96,65,0,0,0,0,0
6/29/2023,89,58,0,0,0,0,0
6/28/2023,82,57,0,0,0,0,0
6/27/2023,81,55,0,0,0,0,0
6/26/2023,83,57,0,0,0,0,0
6/25/2023,86,59,0,0,0,0,0
6/24/2023,88,56,0,0,0,0,0
6/23/2023,84,53,0,1,0,0,0
6/22/2023,82,49,0,0,0,0,0
6/21/2023,73,43,0,0,0,0,0
6/20/2023,66,41,0,0,0,0,0
6/19/2023,62,48,0,0,0,0,0
6/18/2023,74,53,0.05,0,0,0,0
6/17/2023,81,61,0,0,0,0,0
6/16/2023,80,50,0,0,0,0,0
6/15/2023,78,49,0,0,0,0,0
6/14/2023,76,57,0,0,0,0,0
6/13/2023,87,61,0.05,0,0,0,0
6/12/2023,84,60,0.01,1,0,0,0
6/11/2023,86,59,0.04,1,0,0,0
6/10/2023,82,59,0,1,0,0,0
6/9/2023,73,58,0.09,1,0,0,0
6/8/2023,79,61,0.15,1,0,0,0
6/7/2023,90,59,0.02,1,0,0,1
6/6/2023,92,59,0.56,1,0,0,0
6/5/2023,86,63,0,0,0,0,0
6/4/2023,86,63,0,1,0,0,0
6/3/2023,85,55,0,1,0,0,0
6/2/2023,80,54,0,1,0,0,0
6/1/2023,81,51,0,1,0,0,0
5/31/2023,76,58,0.05,1,0,0,0
5/30/2023,84,58,0.08,1,0,0,0
5/29/2023,86,55,0,1,0,0,0
5/28/2023,81,53,0,1,0,0,0
5/27/2023,76,53,0,1,0,0,0
5/26/2023,78,58,0.01,1,0,0,0
5/25/2023,82,51,0,1,0,0,0
5/24/2023,79,53,0.01,1,0,0,0
5/23/2023,75,52,0,1,0,0,0
5/22/2023,74,56,0,1,0,0,0
5/21/2023,91,62,0.03,1,0,0,0
5/20/2023,92,60,0,1,0,0,0
5/19/2023,90,61,0,1,0,0,0
5/18/2023,84,57,0,1,0,0,0
5/17/2023,82,56,0,1,0,0,0
5/16/2023,83,56,0,1,0,0,0
5/15/2023,82,53,0.24,1,0,0,0
5/14/2023,72,56,0.01,1,0,0,0
5/13/2023,81,52,0,1,0,0,0
5/12/2023,78,46,0,1,0,0,0
5/11/2023,74,42,0,1,0,0,0
5/10/2023,69,41,0,1,0,0,0
5/9/2023,62,42,0.19,1,0,0,1
5/8/2023,67,44,0.22,1,0,0,0
5/7/2023,59,45,0.41,1,0,0,0
5/6/2023,63,44,0.11,1,0,0,0
5/5/2023,61,47,0.07,1,0,0,0
5/4/2023,74,52,0,1,0,0,0
5/3/2023,85,52,0,1,0,0,0
5/2/2023,80,54,0,1,0,0,0
5/1/2023,81,57,0,1,0,0,0
4/30/2023,90,52,0.01,1,0,0,0
4/29/2023,86,47,0,1,0,0,0
4/28/2023,78,46,0,1,0,0,0
4/27/2023,75,46,0,1,0,0,0
4/26/2023,72,40,0,1,0,0,0
4/25/2023,65,37,0,1,0,0,0
4/24/2023,58,41,0,1,0,0,0
4/23/2023,61,41,0.05,1,0,0,0
4/22/2023,59,40,0,1,0,0,0
4/21/2023,53,39,0.08,1,0,0,0
4/20/2023,52,28,0,1,0,0,0
4/19/2023,51,27,0.03,1,0,0,0
4/18/2023,47,30,0.16,1,0,0,0
4/17/2023,60,42,0.01,1,0,0,0
4/16/2023,74,42,0,1,0,0,0
4/15/2023,66,37,0,1,0,0,0
4/14/2023,56,31,0,1,0,0,0
4/13/2023,51,32,0.08,1,0,0,0
4/12/2023,50,34,0,1,0,0,0
4/11/2023,66,42,0,1,0,0,0
4/10/2023,82,50,0,1,0,0,0
4/9/2023,73,42,0,1,0,0,0
4/8/2023,63,37,0,1,0,0,0
4/7/2023,55,39,0,1,0,0,0
4/6/2023,56,34,0,1,0,0,0
4/5/2023,50,24,0,1,0,0,0
4/4/2023,46,31,0.01,1,0,0,0
4/3/2023,46,30,0,1,0,0,0
4/2/2023,51,35,0,1,0,0,0
4/1/2023,50,38,0.18,1,0,0,1
3/31/2023,51,37,0,1,0,0,1
3/30/2023,44,33,0.92,1,0,0,0
3/29/2023,44,37,0.12,1,0,0,1
3/28/2023,51,39,0,1,0,0,0
3/27/2023,49,22,0,1,0,0,0
3/26/2023,44,24,0,1,0,0,0
3/25/2023,42,27,0,1,0,0,0
3/24/2023,44,28,0.05,1,0,0,1
3/23/2023,52,33,0.09,1,0,0,0
3/22/2023,55,31,0,1,0,0,0
3/21/2023,51,33,0.1,1,0,0,1
3/20/2023,48,33,0.29,1,0,0,0
3/19/2023,58,30,0,1,0,1,1
3/18/2023,54,29,0,1,0,1,1
3/17/2023,52,27,0,1,0,1,1
3/16/2023,50,25,0,1,0,0,0
3/15/2023,49,31,0.06,1,0,1,1
3/14/2023,53,42,0.26,1,0,0,0
3/13/2023,56,41,0.1,1,0,1,1
3/12/2023,52,30,0.05,1,0,0,1
3/11/2023,51,33,0,1,0,0,1
3/10/2023,50,36,0.09,1,0,0,1
3/9/2023,46,25,0.04,1,0,0,0
3/8/2023,41,28,0.07,1,0,0,1
3/7/2023,43,27,0.01,1,0,0,0
3/6/2023,41,27,0.01,1,0,0,1
3/5/2023,42,27,0.1,1,0,0,1
3/4/2023,43,28,0.02,1,0,0,1
3/3/2023,41,30,0,1,0,0,1
3/2/2023,39,23,0,0,0,0,0
3/1/2023,43,27,0.09,0,0,0,0
2/28/2023,40,30,0.04,1,0,0,1
2/27/2023,42,26,0.19,1,0,0,1
2/26/2023,41,29,0.11,1,0,0,1
2/25/2023,53,23,0,1,0,0,1
2/24/2023,45,20,0,1,0,0,1
2/23/2023,37,24,0,1,0,0,1
2/22/2023,40,25,0,1,0,0,1
2/21/2023,51,27,0,1,0,0,0
2/20/2023,55,35,0,1,0,0,0
2/19/2023,48,23,0,1,0,0,0
2/18/2023,39,23,0,1,0,0,0
2/17/2023,44,21,0,1,0,0,0
2/16/2023,44,23,0,1,0,0,0
2/15/2023,43,25,0,0,0,0,0
2/14/2023,35,25,0.05,0,0,0,0
2/13/2023,49,26,0.06,1,0,0,0
2/12/2023,48,25,0,1,0,0,0
2/11/2023,47,23,0,1,0,0,0
2/10/2023,50,29,0,1,0,0,0
2/9/2023,46,25,0,1,0,1,1
2/8/2023,45,28,0,1,0,1,1
2/7/2023,50,29,0,1,0,0,0
2/6/2023,48,30,0,1,0,1,1
2/5/2023,51,37,0.04,1,0,1,1
2/4/2023,50,23,0,1,0,0,1
2/3/2023,45,22,0,1,0,0,1
2/2/2023,40,16,0,1,0,0,1
2/1/2023,34,15,0,1,0,0,0
1/31/2023,24,13,0,1,0,0,0
1/30/2023,23,9,0,1,0,0,0
1/29/2023,28,15,0,1,0,0,0
1/28/2023,39,28,0.04,1,0,0,0
1/27/2023,44,34,0,1,0,0,1
1/26/2023,48,28,0,1,0,0,1
1/25/2023,42,22,0,1,0,0,1
1/24/2023,37,15,0,1,0,0,1
1/23/2023,32,16,0,0,0,0,0
1/22/2023,31,24,0,1,0,0,0
1/21/2023,32,15,0,0,0,0,0
1/20/2023,32,13,0,1,0,0,0
1/19/2023,36,23,0.24,0,0,0,0
1/18/2023,43,25,0,1,0,0,0
1/17/2023,44,25,0,1,0,0,0
1/16/2023,45,31,0,1,0,0,0
1/15/2023,50,37,0,1,0,0,0
1/14/2023,52,41,0.04,1,0,0,0
1/13/2023,52,37,0.09,1,0,0,0
1/12/2023,52,37,0,1,0,0,0
1/11/2023,48,31,0,1,0,0,1
1/10/2023,40,30,0.1,1,0,0,0
1/9/2023,47,37,0.09,1,0,0,0
1/8/2023,47,36,0,1,0,0,0
1/7/2023,48,28,0,1,0,0,1
1/6/2023,48,32,0.05,1,0,1,1
1/5/2023,49,36,0.06,1,0,0,1
1/4/2023,44,29,0,1,0,0,1
1/3/2023,34,21,0,1,0,0,1
1/2/2023,34,20,0,1,0,0,1
1/1/2023,40,26,0,1,0,0,1
12/31/2022,39,29,0.01,1,0,1,1
12/30/2022,40,35,0.33,1,0,1,1
12/29/2022,40,29,0,1,0,0,1
12/28/2022,43,31,0,1,0,1,1
12/27/2022,56,40,0.13,1,0,1,1
12/26/2022,48,30,0,1,0,1,1
12/25/2022,31,26,0.04,1,0,0,1
12/24/2022,28,20,0.08,1,0,0,1
12/23/2022,22,13,0.15,1,0,0,0
12/22/2022,18,7,0,0,0,0,0
12/21/2022,38,17,0.01,1,0,0,1
12/20/2022,38,18,0,1,0,0,0
12/19/2022,22,6,0,1,0,0,0
12/18/2022,21,11,0,0,0,0,0
12/17/2022,24,20,0,0,0,0,0
12/16/2022,27,19,0,1,0,0,0
12/15/2022,29,17,0,1,0,0,0
12/14/2022,32,25,0.05,1,0,0,0
12/13/2022,35,20,0,0,0,0,0
12/12/2022,34,28,0.33,0,0,0,0
12/11/2022,44,32,0.46,1,0,1,1
12/10/2022,46,35,0.02,1,0,0,1
12/9/2022,40,29,0.13,1,0,0,1
12/8/2022,41,20,0.03,1,0,0,1
12/7/2022,31,25,0,1,0,0,1
12/6/2022,36,26,0,0,0,0,0
12/5/2022,29,24,0,1,0,0,0
12/4/2022,33,26,0.12,1,0,0,1
12/3/2022,37,20,0,1,0,0,1
12/2/2022,34,25,0,1,0,0,0
12/1/2022,46,25,0.11,1,0,0,1
11/30/2022,46,29,0,1,0,0,0
11/29/2022,33,18,0,1,0,0,0
11/28/2022,35,26,0.02,1,0,0,0
11/27/2022,44,27,0.1,1,0,0,0
11/26/2022,44,28,0.05,1,0,0,0
11/25/2022,43,27,0,1,0,0,0
11/24/2022,46,25,0,1,0,0,0
11/23/2022,46,28,0,1,0,0,0
11/22/2022,39,22,0,1,0,0,0
11/21/2022,38,18,0,1,0,0,1
11/20/2022,35,18,0,1,0,0,1
11/19/2022,36,20,0,1,0,0,0
11/18/2022,34,23,0,1,0,0,0
11/17/2022,38,22,0,1,0,0,1
11/16/2022,39,23,0,1,0,0,1
11/15/2022,38,21,0,1,0,0,0
11/14/2022,39,23,0,1,0,0,0
11/13/2022,41,24,0,1,0,0,1
11/12/2022,39,27,0,1,0,0,1
