Date,Max Temperature (F),Min Temperature (F),Precipitation (mm)
11/20/2023,47,28,0
11/19/2023,50,35,0.52
11/18/2023,57,39,0.02
11/17/2023,60,36,0
11/16/2023,62,40,0
11/15/2023,67,41,0
11/14/2023,61,37,0
11/13/2023,63,39,0
11/12/2023,66,40,0
11/11/2023,59,41,0
11/10/2023,55,35,0
11/9/2023,53,31,0
11/8/2023,51,31,0
11/7/2023,55,40,0
11/6/2023,57,42,0.11
11/5/2023,65,46,0.01
11/4/2023,58,44,0.13
11/3/2023,61,43,0.06
11/2/2023,51,44,0.33
11/1/2023,57,35,0
10/31/2023,56,29,0
10/30/2023,50,26,0
10/29/2023,48,24,0
10/28/2023,46,27,0
10/27/2023,50,33,0
10/26/2023,50,35,0
10/25/2023,58,39,0.33
10/24/2023,63,38,0
10/23/2023,68,48,0.14
10/22/2023,73,50,0.06
10/21/2023,79,51,0
10/20/2023,80,52,0
10/19/2023,79,51,0
10/18/2023,75,48,0
10/17/2023,72,50,0
10/16/2023,82,54,0
10/15/2023,81,53,0
10/14/2023,73,53,0
10/13/2023,70,43,0
10/12/2023,64,40,0
10/11/2023,59,48,0.03
10/10/2023,65,50,0.09
10/9/2023,86,55,0.02
10/8/2023,87,53,0
10/7/2023,82,53,0
10/6/2023,78,51,0
10/5/2023,74,47,0
10/4/2023,70,44,0
10/3/2023,65,52,0.09
10/2/2023,64,49,0.01
10/1/2023,52,46,0.47
9/30/2023,57,48,0.23
9/29/2023,78,49,0
9/28/2023,69,42,0
9/27/2023,73,51,0
9/26/2023,80,53,0
9/25/2023,88,53,0
9/24/2023,80,55,0
9/23/2023,78,49,0
9/22/2023,70,48,0.01
9/21/2023,66,43,0
9/20/2023,71,47,0
9/19/2023,76,51,0
9/18/2023,86,60,0
9/17/2023,88,58,0
9/16/2023,93,58,0
9/15/2023,89,58,0
9/14/2023,83,52,0
9/13/2023,83,58,0
9/12/2023,87,62,0
9/11/2023,93,63,0
9/10/2023,91,62,0
9/9/2023,90,58,0
9/8/2023,85,59,0
9/7/2023,89,59,0
9/6/2023,90,61,0.03
9/5/2023,84,57,0
9/4/2023,75,59,0.02
9/3/2023,72,63,0.15
9/2/2023,82,65,0.01
9/1/2023,85,62,0
8/31/2023,90,56,0
8/30/2023,77,57,0
8/29/2023,96,67,0
8/28/2023,99,66,0
8/27/2023,93,65,0
8/26/2023,97,67,1.46
8/25/2023,92,70,0
8/24/2023,92,61,0
8/23/2023,86,60,0
8/22/2023,87,63,0.89
8/21/2023,87,66,0.37
8/20/2023,77,69,0.02
8/19/2023,86,66,0
8/18/2023,96,72,0
8/17/2023,100,72,0
8/16/2023,105,71,0
8/15/2023,104,71,0
8/14/2023,99,69,0
8/13/2023,93,59,0
8/12/2023,92,61,0
8/11/2023,96,62,0
8/10/2023,90,61,0
8/9/2023,93,65,0
8/8/2023,83,56,0
8/7/2023,82,58,0
8/6/2023,86,61,0.01
8/5/2023,89,60,0
8/4/2023,81,64,0.02
8/3/2023,92,70,0.02
8/2/2023,95,71,0
8/1/2023,98,61,0
7/31/2023,96,62,0
7/30/2023,99,68,0
7/29/2023,98,69,0
7/28/2023,98,64,0
7/27/2023,95,63,0
7/26/2023,95,62,0
7/25/2023,93,65,0
7/24/2023,97,78,0
7/23/2023,101,70,0
7/22/2023,103,70,0
7/21/2023,105,70,0
7/20/2023,102,72,0
7/19/2023,101,60,0
7/18/2023,94,60,0
7/17/2023,96,75,0
7/16/2023,105,70,0
7/15/2023,101,65,0
7/14/2023,94,62,0
7/13/2023,94,64,0
7/12/2023,97,63,0
7/11/2023,93,63,0
7/10/2023,95,67,0
7/9/2023,103,66,0
7/8/2023,95,69,0
7/7/2023,98,66,0
7/6/2023,96,62,0
7/5/2023,92,60,0
7/4/2023,88,56,0
7/3/2023,93,61,0
7/2/2023,98,62,0
7/1/2023,98,70,0
6/30/2023,96,65,0
6/29/2023,89,58,0
6/28/2023,82,57,0
6/27/2023,81,55,0
6/26/2023,83,57,0
6/25/2023,86,59,0
6/24/2023,88,56,0
6/23/2023,84,53,0
6/22/2023,82,49,0
6/21/2023,73,43,0
6/20/2023,66,41,0
6/19/2023,62,48,0
6/18/2023,74,53,0.05
6/17/2023,81,61,0
6/16/2023,80,50,0
6/15/2023,78,49,0
6/14/2023,76,57,0
6/13/2023,87,61,0.05
6/12/2023,84,60,0.01
6/11/2023,86,59,0.04
6/10/2023,82,59,0
6/9/2023,73,58,0.09
6/8/2023,79,61,0.15
6/7/2023,90,59,0.02
6/6/2023,92,59,0.56
6/5/2023,86,63,0
6/4/2023,86,63,0
6/3/2023,85,55,0
6/2/2023,80,54,0
6/1/2023,81,51,0
5/31/2023,76,58,0.05
5/30/2023,84,58,0.08
5/29/2023,86,55,0
5/28/2023,81,53,0
5/27/2023,76,53,0
5/26/2023,78,58,0.01
5/25/2023,82,51,0
5/24/2023,79,53,0.01
5/23/2023,75,52,0
5/22/2023,74,56,0
5/21/2023,91,62,0.03
5/20/2023,92,60,0
5/19/2023,90,61,0
5/18/2023,84,57,0
5/17/2023,82,56,0
5/16/2023,83,56,0
5/15/2023,82,53,0.24
5/14/2023,72,56,0.01
5/13/2023,81,52,0
5/12/2023,78,46,0
5/11/2023,74,42,0
5/10/2023,69,41,0
5/9/2023,62,42,0.19
5/8/2023,67,44,0.22
5/7/2023,59,45,0.41
5/6/2023,63,44,0.11
5/5/2023,61,47,0.07
5/4/2023,74,52,0
5/3/2023,85,52,0
5/2/2023,80,54,0
5/1/2023,81,57,0
4/30/2023,90,52,0.01
4/29/2023,86,47,0
4/28/2023,78,46,0
4/27/2023,75,46,0
4/26/2023,72,40,0
4/25/2023,65,37,0
4/24/2023,58,41,0
4/23/2023,61,41,0.05
4/22/2023,59,40,0
4/21/2023,53,39,0.08
4/20/2023,52,28,0
4/19/2023,51,27,0.03
4/18/2023,47,30,0.16
4/17/2023,60,42,0.01
4/16/2023,74,42,0
4/15/2023,66,37,0
4/14/2023,56,31,0
4/13/2023,51,32,0.08
4/12/2023,50,34,0
4/11/2023,66,42,0
4/10/2023,82,50,0
4/9/2023,73,42,0
4/8/2023,63,37,0
4/7/2023,55,39,0
4/6/2023,56,34,0
4/5/2023,50,24,0
4/4/2023,46,31,0.01
4/3/2023,46,30,0
4/2/2023,51,35,0
4/1/2023,50,38,0.18
3/31/2023,51,37,0
3/30/2023,44,33,0.92
3/29/2023,44,37,0.12
3/28/2023,51,39,0
3/27/2023,49,22,0
3/26/2023,44,24,0
3/25/2023,42,27,0
3/24/2023,44,28,0.05
3/23/2023,52,33,0.09
3/22/2023,55,31,0
3/21/2023,51,33,0.1
3/20/2023,48,33,0.29
3/19/2023,58,30,0
3/18/2023,54,29,0
3/17/2023,52,27,0
3/16/2023,50,25,0
3/15/2023,49,31,0.06
3/14/2023,53,42,0.26
3/13/2023,56,41,0.1
3/12/2023,52,30,0.05
3/11/2023,51,33,0
3/10/2023,50,36,0.09
3/9/2023,46,25,0.04
3/8/2023,41,28,0.07
3/7/2023,43,27,0.01
3/6/2023,41,27,0.01
3/5/2023,42,27,0.1
3/4/2023,43,28,0.02
3/3/2023,41,30,0
3/2/2023,39,23,0
3/1/2023,43,27,0.09
2/28/2023,40,30,0.04
2/27/2023,42,26,0.19
2/26/2023,41,29,0.11
2/25/2023,53,23,0
2/24/2023,45,20,0
2/23/2023,37,24,0
2/22/2023,40,25,0
2/21/2023,51,27,0
2/20/2023,55,35,0
2/19/2023,48,23,0
2/18/2023,39,23,0
2/17/2023,44,21,0
2/16/2023,44,23,0
2/15/2023,43,25,0
2/14/2023,35,25,0.05
2/13/2023,49,26,0.06
2/12/2023,48,25,0
2/11/2023,47,23,0
2/10/2023,50,29,0
2/9/2023,46,25,0
2/8/2023,45,28,0
2/7/2023,50,29,0
2/6/2023,48,30,0
2/5/2023,51,37,0.04
2/4/2023,50,23,0
2/3/2023,45,22,0
2/2/2023,40,16,0
2/1/2023,34,15,0
1/31/2023,24,13,0
1/30/2023,23,9,0
1/29/2023,28,15,0
1/28/2023,39,28,0.04
1/27/2023,44,34,0
1/26/2023,48,28,0
1/25/2023,42,22,0
1/24/2023,37,15,0
1/23/2023,32,16,0
1/22/2023,31,24,0
1/21/2023,32,15,0
1/20/2023,32,13,0
1/19/2023,36,23,0.24
1/18/2023,43,25,0
1/17/2023,44,25,0
1/16/2023,45,31,0
1/15/2023,50,37,0
1/14/2023,52,41,0.04
1/13/2023,52,37,0.09
1/12/2023,52,37,0
1/11/2023,48,31,0
1/10/2023,40,30,0.1
1/9/2023,47,37,0.09
1/8/2023,47,36,0
1/7/2023,48,28,0
1/6/2023,48,32,0.05
1/5/2023,49,36,0.06
1/4/2023,44,29,0
1/3/2023,34,21,0
1/2/2023,34,20,0
1/1/2023,40,26,0
12/31/2022,39,29,0.01
12/30/2022,40,35,0.33
12/29/2022,40,29,0
12/28/2022,43,31,0
12/27/2022,56,40,0.13
12/26/2022,48,30,0
12/25/2022,31,26,0.04
12/24/2022,28,20,0.08
12/23/2022,22,13,0.15
12/22/2022,18,7,0
12/21/2022,38,17,0.01
12/20/2022,38,18,0
12/19/2022,22,6,0
12/18/2022,21,11,0
12/17/2022,24,20,0
12/16/2022,27,19,0
12/15/2022,29,17,0
12/14/2022,32,25,0.05
12/13/2022,35,20,0
12/12/2022,34,28,0.33
12/11/2022,44,32,0.46
12/10/2022,46,35,0.02
12/9/2022,40,29,0.13
12/8/2022,41,20,0.03
12/7/2022,31,25,0
12/6/2022,36,26,0
12/5/2022,29,24,0
12/4/2022,33,26,0.12
12/3/2022,37,20,0
12/2/2022,34,25,0
12/1/2022,46,25,0.11
11/30/2022,46,29,0
11/29/2022,33,18,0
11/28/2022,35,26,0.02
11/27/2022,44,27,0.1
11/26/2022,44,28,0.05
11/25/2022,43,27,0
11/24/2022,46,25,0
11/23/2022,46,28,0
11/22/2022,39,22,0
11/21/2022,38,18,0
11/20/2022,35,18,0
11/19/2022,36,20,0
11/18/2022,34,23,0
11/17/2022,38,22,0
11/16/2022,39,23,0
11/15/2022,38,21,0
11/14/2022,39,23,0
11/13/2022,41,24,0
11/12/2022,39,27,0
11/11/2022,36,22,0
11/10/2022,36,20,0
11/9/2022,37,25,0.52
11/8/2022,49,34,0.29
11/7/2022,49,35,0.25
11/6/2022,54,32,0
11/5/2022,52,35,0.05
11/4/2022,43,33,0.55
11/3/2022,44,27,0
11/2/2022,47,33,0.04
11/1/2022,65,40,0.35
10/31/2022,69,38,0
10/30/2022,61,33,0
10/29/2022,56,32,0
10/28/2022,56,32,0
10/27/2022,52,30,0
10/26/2022,50,33,0.01
10/25/2022,53,36,0
10/24/2022,49,29,0.03
10/23/2022,51,34,0
10/22/2022,53,39,0.67
10/21/2022,70,48,0.17
10/20/2022,76,46,0
10/19/2022,75,46,0
10/18/2022,77,46,0
10/17/2022,77,43,0
10/16/2022,73,47,0
10/15/2022,78,48,0
10/14/2022,76,45,0
10/13/2022,77,49,0
10/12/2022,78,44,0
10/11/2022,75,46,0
10/10/2022,77,49,0
10/9/2022,77,50,0
10/8/2022,80,54,0
10/7/2022,81,52,0
10/6/2022,82,51,0
10/5/2022,83,52,0
10/4/2022,81,53,0
10/3/2022,77,51,0
10/2/2022,77,52,0
10/1/2022,72,43,0
9/30/2022,72,48,0
9/29/2022,73,56,0
9/28/2022,91,58,0
9/27/2022,95,54,0
9/26/2022,88,54,0
9/25/2022,86,52,0
9/24/2022,82,50,0
9/23/2022,77,49,0
9/22/2022,70,55,0
9/21/2022,74,53,0.07
9/20/2022,86,56,0
9/19/2022,83,52,0
9/18/2022,78,56,0
9/17/2022,83,53,0
9/16/2022,78,54,0
9/15/2022,81,61,0.04
9/14/2022,82,57,0
9/13/2022,78,61,0.13
9/12/2022,85,60,0
9/11/2022,88,54,0
9/10/2022,84,55,0
9/9/2022,78,46,0
9/8/2022,85,56,0
9/7/2022,104,68,0
9/6/2022,101,64,0
9/5/2022,95,62,0
9/4/2022,98,60,0
9/3/2022,102,66,0
9/2/2022,101,63,0
9/1/2022,97,64,0
8/31/2022,106,69,0
8/30/2022,98,62,0
8/29/2022,94,58,0
8/28/2022,84,53,0
8/27/2022,86,64,0
8/26/2022,96,66,0
8/25/2022,95,68,0
8/24/2022,101,65,0
8/23/2022,97,67,0
8/22/2022,98,70,0
8/21/2022,100,69,0
8/20/2022,96,68,0
8/19/2022,96,73,0.05
8/18/2022,99,71,0
8/17/2022,103,69,0
8/16/2022,102,65,0
8/15/2022,99,62,0
8/14/2022,96,60,0
8/13/2022,95,66,0
8/12/2022,98,71,0
8/11/2022,100,71,0
8/10/2022,93,69,0.03
8/9/2022,99,76,0
8/8/2022,104,67,0
8/7/2022,96,59,0
8/6/2022,89,67,0
8/5/2022,93,68,0
8/4/2022,99,74,0
8/3/2022,98,66,0
8/2/2022,88,72,0.01
8/1/2022,102,74,0
7/31/2022,106,74,0
7/30/2022,103,70,0
7/29/2022,104,69,0
7/28/2022,103,70,0
7/27/2022,102,69,0
7/26/2022,100,65,0
7/25/2022,96,61,0
7/24/2022,94,59,0
7/23/2022,96,58,0
7/22/2022,97,65,0
7/21/2022,100,64,0
7/20/2022,101,65,0
7/19/2022,98,59,0
7/18/2022,90,67,0
7/17/2022,102,66,0
7/16/2022,104,65,0
7/15/2022,100,70,0
7/14/2022,103,65,0
7/13/2022,100,74,0
7/12/2022,101,64,0
7/11/2022,93,57,0
7/10/2022,89,63,0
7/9/2022,94,61,0
7/8/2022,96,62,0
7/7/2022,95,65,0
7/6/2022,92,62,0
7/5/2022,91,61,0
7/4/2022,82,60,0
7/3/2022,88,64,0
7/2/2022,95,62,0
7/1/2022,94,61,0
6/30/2022,93,58,0
6/29/2022,86,59,0
6/28/2022,99,67,0
6/27/2022,104,65,0
6/26/2022,94,58,0
6/25/2022,87,51,0
6/24/2022,82,53,0
6/23/2022,88,59,0
6/22/2022,90,56,0
6/21/2022,83,51,0
6/20/2022,74,45,0
6/19/2022,71,46,0
6/18/2022,75,51,0
6/17/2022,78,55,0
6/16/2022,91,55,0
6/15/2022,77,42,0
6/14/2022,61,41,0
6/13/2022,60,45,0
6/12/2022,65,51,0.79
6/11/2022,87,65,0
6/10/2022,91,60,0
6/9/2022,86,54,0
6/8/2022,72,57,0.01
6/7/2022,77,47,0
6/6/2022,73,48,0.01
6/5/2022,71,53,0.17
6/4/2022,70,56,0.05
6/3/2022,83,58,0
6/2/2022,85,56,0
6/1/2022,77,48,0
5/31/2022,66,45,0
5/30/2022,51,42,0.32
5/29/2022,51,46,0.08
5/28/2022,69,50,0.33
5/27/2022,78,56,0.12
5/26/2022,88,54,0
5/25/2022,82,51,0
5/24/2022,72,43,0
5/23/2022,71,45,0
5/22/2022,68,43,0
5/21/2022,68,42,0
5/20/2022,65,38,0
5/19/2022,58,41,0
5/18/2022,76,46,0
5/17/2022,74,48,0
5/16/2022,78,54,0
5/15/2022,85,50,0
5/14/2022,71,51,0.03
5/13/2022,63,45,0.08
5/12/2022,63,34,0.17
5/11/2022,61,35,0
5/10/2022,55,30,0
5/9/2022,44,33,0.26
5/8/2022,53,34,0.03
5/7/2022,58,41,0.29
5/6/2022,74,48,0.05
5/5/2022,70,52,0
5/4/2022,72,39,0
5/3/2022,65,38,0.45
5/2/2022,66,41,0.25
5/1/2022,66,43,0
4/30/2022,59,42,0.37
4/29/2022,59,34,0
4/28/2022,59,39,0.01
4/27/2022,64,36,0
4/26/2022,62,42,0.02
4/25/2022,73,44,0
4/24/2022,64,33,0
4/23/2022,61,35,0
4/22/2022,61,37,0
4/21/2022,57,43,0.1
4/20/2022,65,39,0
4/19/2022,61,39,0.03
4/18/2022,72,40,0
4/17/2022,56,30,0
4/16/2022,54,35,0.06
4/15/2022,50,31,0
4/14/2022,47,35,0.12
4/13/2022,43,28,0.03
4/12/2022,45,30,0.03
4/11/2022,45,31,0.09
4/10/2022,44,28,0.04
4/9/2022,51,32,0
4/8/2022,73,43,0
4/7/2022,68,34,0
4/6/2022,56,26,0
4/5/2022,50,32,0
4/4/2022,60,41,0.25
4/3/2022,65,35,0
4/2/2022,59,36,0
4/1/2022,59,28,0
3/31/2022,53,32,0
3/30/2022,60,35,0
3/29/2022,68,41,0
3/28/2022,64,40,0
3/27/2022,65,47,0
3/26/2022,73,43,0
3/25/2022,74,42,0
3/24/2022,67,39,0
3/23/2022,70,39,0
3/22/2022,62,33,0
3/21/2022,53,33,0
3/20/2022,48,31,0
3/19/2022,61,40,0.04
3/18/2022,60,35,0
3/17/2022,55,31,0
3/16/2022,51,34,0
3/15/2022,54,40,0.34
3/14/2022,58,33,0
3/13/2022,54,37,0
3/12/2022,64,35,0
3/11/2022,53,23,0
3/10/2022,39,14,0
3/9/2022,40,22,0
3/8/2022,49,29,0.01
3/7/2022,50,24,0
3/6/2022,47,29,0
3/5/2022,52,24,0
3/4/2022,49,33,0
3/3/2022,59,37,0
3/2/2022,67,37,0
3/1/2022,58,39,0
2/28/2022,57,29,0
2/27/2022,45,20,0
2/26/2022,38,16,0
2/25/2022,33,12,0
2/24/2022,30,17,0
2/23/2022,30,14,0
2/22/2022,30,21,0
2/21/2022,40,24,0
2/20/2022,50,30,0
2/19/2022,59,28,0
2/18/2022,54,26,0
2/17/2022,49,23,0
2/16/2022,47,27,0.01
2/15/2022,47,30,0
2/14/2022,56,28,0.07
2/13/2022,47,24,0
2/12/2022,46,24,0
2/11/2022,52,25,0
2/10/2022,58,28,0
2/9/2022,50,22,0
2/8/2022,39,18,0
2/7/2022,39,23,0
2/6/2022,40,20,0
2/5/2022,41,17,0
2/4/2022,39,21,0
2/3/2022,37,24,0
2/2/2022,34,16,0
2/1/2022,35,18,0
1/31/2022,40,23,0
1/30/2022,29,13,0
1/29/2022,33,13,0
1/28/2022,29,14,0
1/27/2022,31,19,0
1/26/2022,29,23,0
1/25/2022,31,24,0
1/24/2022,31,26,0
1/23/2022,32,29,0
1/22/2022,34,24,0
1/21/2022,39,27,0
1/20/2022,35,31,0.2
1/19/2022,33,30,0
1/18/2022,32,28,0
1/17/2022,32,23,0
1/16/2022,37,26,0
1/15/2022,37,25,0
1/14/2022,40,24,0
1/13/2022,40,27,0
1/12/2022,39,22,0
1/11/2022,36,27,0
1/10/2022,34,20,0
1/9/2022,36,24,0
1/8/2022,40,29,0
1/7/2022,49,35,0.11
1/6/2022,41,32,0.1
1/5/2022,37,32,0.36
1/4/2022,35,31,0.16
1/3/2022,41,7,0.15
1/2/2022,25,6,0
1/1/2022,24,-3,0
12/31/2021,30,9,0
12/30/2021,30,15,0.09
12/29/2021,27,12,0.12
12/28/2021,24,15,0
12/27/2021,31,21,0.02
12/26/2021,36,26,0.14
12/25/2021,37,27,0.03
12/24/2021,37,26,0.19
12/23/2021,46,33,0.22
12/22/2021,46,30,0.04
12/21/2021,42,25,0
12/20/2021,50,30,0
12/19/2021,38,27,0.01
12/18/2021,35,25,0
12/17/2021,38,26,0
12/16/2021,35,30,0.03
12/15/2021,33,19,0.01
